New PAW TMT results file!
Program "PAW_protein_grouper.py" run on Fri Jan 18 13:51:14 2019
 
 
ProtGroup	Counter	Accession	Identical	Similar	OtherLoci	Filter	Coverage	SeqLength	MW	Description	CountsTot	UniqueTot	UniqFrac	Total_CarbonSources	Unique_CarbonSources	Corrected_CarbonSources	PSMs_Used_CarbonSources	TotInt_126C_CarbonSources	TotInt_127N_CarbonSources	TotInt_127C_CarbonSources	TotInt_128N_CarbonSources	TotInt_128C_CarbonSources	TotInt_129N_CarbonSources	TotInt_129C_CarbonSources	TotInt_130N_CarbonSources	TotInt_130C_CarbonSources	TotInt_131N_CarbonSources	TotInt_131C_CarbonSources
1	1	CONT_005|Trypa5|PromTArt5	 	 	CONT_005|Trypa5|PromTArt5, CONT_010|gi|136429|sp|P00761|TRYP_PIG	contaminant	100.0	50	5560	Promega trypsin artifact 5 K to R mods (2239.1, 2914)(1987, 2003).	28	26	0.929	28	26	26.547	26	474738.776613	472627.181639	550095.601809	457813.737548	507952.751953	578830.729007	648378.886232	572874.415224	684425.054443	7821.543763	9755.688446
2	1	CONT_010|gi|136429|sp|P00761|TRYP_PIG	 	 	CONT_005|Trypa5|PromTArt5, CONT_010|gi|136429|sp|P00761|TRYP_PIG	contaminant	28.6	231	24409	TRYPSIN PRECURSOR [Sus scrofa].	71	69	0.972	71	69	70.453	69	9046837.35517	9603942.52698	10259385.5364	10777051.9563	12600327.4401	13042477.9506	12666478.6813	12606467.0433	12853303.438	429931.853576	206307.468567
3	1	CONT_014|gi|114054|sp|P15636|API_ACHLY	 	 	 	contaminant	12.9	653	68124	PROTEASE I PRECURSOR (API) (LYSYL ENDOPEPTIDASE) [Achromobacter lyticus].	165	165	1.000	165	165	165.000	165	54740269.0089	54641441.7903	63554412.282	62676087.5723	59549029.4951	66322206.3771	79117396.3735	65104419.8706	74076559.5417	1922954.75665	1541453.76529
4	1	CONT_016|gi|113574|sp|P02769|ALBU_BOVIN	 	 	CONT_016|gi|113574|sp|P02769|ALBU_BOVIN, CONT_017|gi|113576|sp|P02768|ALBU_HUMAN, CONT_018|gi|113580|sp|P02770|ALBU_RAT	contaminant	25.4	607	69270	SERUM ALBUMIN PRECURSOR [Bos taurus].	27	22	0.815	27	22	25.722	22	1109731.1806	868932.424194	731473.034518	876593.202514	1177291.26849	1424501.59088	1622759.51441	1051975.78522	1011681.18628	178209.137025	16214.292085
5	1	CONT_017|gi|113576|sp|P02768|ALBU_HUMAN	 	 	CONT_016|gi|113574|sp|P02769|ALBU_BOVIN, CONT_017|gi|113576|sp|P02768|ALBU_HUMAN, CONT_018|gi|113580|sp|P02770|ALBU_RAT	contaminant	12.8	609	69366	SERUM ALBUMIN PRECURSOR [Homo sapiens].	14	6	0.429	14	6	7.948	6	416521.296876	174284.243652	222924.169921	206722.341797	355379.668946	374286.794921	435229.591797	407273.436524	213407.556641	9687.199218	2544.837585
6	1	CONT_018|gi|113580|sp|P02770|ALBU_RAT	 	 	CONT_016|gi|113574|sp|P02769|ALBU_BOVIN, CONT_017|gi|113576|sp|P02768|ALBU_HUMAN, CONT_018|gi|113580|sp|P02770|ALBU_RAT	contaminant	18.4	608	68718	SERUM ALBUMIN PRECURSOR [Rattus norvegicus].	21	16	0.762	21	16	19.330	16	1792819.62207	1863131.59375	227453.392823	265465.100341	2146302.83691	1304358.80713	190989.417054	149667.040283	1523372.1864	1068805.0899	39451.368408
7	1	CONT_020|CAS2_BOVIN	 	 	 	contaminant	8.6	222	26018	ALPHA-S2 CASEIN PRECURSOR [Bos taurus].	2	2	1.000	2	2	2.000	2	57993.286621	105058.361328	43690.686035	50910.353515	59498.424804	57858.579102	77976.496093	154739.736329	42595.274903	5236.713714	1005.834839
8	1	CONT_021|CASB_BOVIN	 	 	 	contaminant	6.2	224	25107	BETA CASEIN PRECURSOR [Bos taurus].	2	2	1.000	2	2	2.000	2	419036.800781	1009808.86719	183209.245117	543657.679688	663082.109375	641122.097656	933087.625	2239866.74219	376730.537109	73466.05957	11526.308227
9	1	CONT_049|gi|88052|pir||A32568	 	 	CONT_049|gi|88052|pir||A32568, CONT_064|gi|254622|bbs|112352, CONT_070|gi|547752|sp|Q01546|K22O_HUMAN, CONT_071|gi|181400, CONT_073|gi|87303|pir||JS0487, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_083|gi|386849, CONT_102|gi|88044|pir||S01068, CONT_130|gi|1346345|sp|P04259|K2CB_HUMAN, CONT_131|gi|1346346|sp|P48666|K2CC_HUMAN, CONT_132|gi|1346348|sp|P48668|K2CE_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_137|gi|1346347|sp|P48667|K2CD_HUMAN, CONT_142|gi|88053|pir||A29666, CONT_154|gi|1181996	contaminant	29.7	589	62033	keratin K5, 58K type II, epidermal (version 2) (fragment) [Homo sapiens].	50	3	0.060	50	3	15.904	3	42799.604004	21716.195801	22925.928223	29496.057129	48571.663086	59954.003906	68845.101563	52535.196289	30635.402343	539.59137	150.0
10	1	CONT_050|gi|280816|pir||A37343 (+1)	CONT_050|gi|280816|pir||A37343&CONT_098|gi|125077|sp|P13646|K1CM_HUMAN	 	CONT_050|gi|280816|pir||A37343, CONT_074|gi|1070608|pir||KRHU9, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_156|gi|1363944|pir||JC4313, CONT_165|gi|2497269|sp|Q99456|K1CL_HUMAN	contaminant	14.3	420	45865	keratin 13, type I, cytoskeletal, short form [Homo sapiens].	17	0	0.000	17	0	0.500	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
