	=subtotal(109,B3:B3)										Total	Unique	Corrected	
ProtGroup	Counter	Accession	Filter	Coverage	SeqLength	MW	Description	CountsTot	UniqueTot	UniqFrac	CarbonSources	CarbonSources	CarbonSources	OtherLoci
1.0	1	CONT_005|Trypa5|PromTArt5	contaminant	100.0	50	5560	Promega trypsin artifact 5 K to R mods (2239.1, 2914)(1987, 2003).	28	26	0.929	28	26	26.547	CONT_005|Trypa5|PromTArt5, CONT_010|gi|136429|sp|P00761|TRYP_PIG
2.0	1	CONT_010|gi|136429|sp|P00761|TRYP_PIG	contaminant	28.6	231	24409	TRYPSIN PRECURSOR [Sus scrofa].	71	69	0.972	71	69	70.453	CONT_005|Trypa5|PromTArt5, CONT_010|gi|136429|sp|P00761|TRYP_PIG
3.0	1	CONT_014|gi|114054|sp|P15636|API_ACHLY	contaminant	12.9	653	68124	PROTEASE I PRECURSOR (API) (LYSYL ENDOPEPTIDASE) [Achromobacter lyticus].	165	165	1.000	165	165	165.000	 
4.0	1	CONT_016|gi|113574|sp|P02769|ALBU_BOVIN	contaminant	25.4	607	69270	SERUM ALBUMIN PRECURSOR [Bos taurus].	27	22	0.815	27	22	25.722	CONT_016|gi|113574|sp|P02769|ALBU_BOVIN, CONT_017|gi|113576|sp|P02768|ALBU_HUMAN, CONT_018|gi|113580|sp|P02770|ALBU_RAT
5.0	1	CONT_017|gi|113576|sp|P02768|ALBU_HUMAN	contaminant	12.8	609	69366	SERUM ALBUMIN PRECURSOR [Homo sapiens].	14	6	0.429	14	6	7.948	CONT_016|gi|113574|sp|P02769|ALBU_BOVIN, CONT_017|gi|113576|sp|P02768|ALBU_HUMAN, CONT_018|gi|113580|sp|P02770|ALBU_RAT
6.0	1	CONT_018|gi|113580|sp|P02770|ALBU_RAT	contaminant	18.4	608	68718	SERUM ALBUMIN PRECURSOR [Rattus norvegicus].	21	16	0.762	21	16	19.330	CONT_016|gi|113574|sp|P02769|ALBU_BOVIN, CONT_017|gi|113576|sp|P02768|ALBU_HUMAN, CONT_018|gi|113580|sp|P02770|ALBU_RAT
7.0	1	CONT_020|CAS2_BOVIN	contaminant	8.6	222	26018	ALPHA-S2 CASEIN PRECURSOR [Bos taurus].	2	2	1.000	2	2	2.000	 
8.0	1	CONT_021|CASB_BOVIN	contaminant	6.2	224	25107	BETA CASEIN PRECURSOR [Bos taurus].	2	2	1.000	2	2	2.000	 
9.0	1	CONT_049|gi|88052|pir||A32568	contaminant	29.7	589	62033	keratin K5, 58K type II, epidermal (version 2) (fragment) [Homo sapiens].	50	3	0.060	50	3	16.047	CONT_049|gi|88052|pir||A32568, CONT_064|gi|254622|bbs|112352, CONT_070|gi|547752|sp|Q01546|K22O_HUMAN, CONT_071|gi|181400, CONT_073|gi|87303|pir||JS0487, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_083|gi|386849, CONT_102|gi|88044|pir||S01068, CONT_130|gi|1346345|sp|P04259|K2CB_HUMAN, CONT_131|gi|1346346|sp|P48666|K2CC_HUMAN, CONT_132|gi|1346348|sp|P48668|K2CE_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_137|gi|1346347|sp|P48667|K2CD_HUMAN, CONT_142|gi|88053|pir||A29666, CONT_154|gi|1181996
